Year,Age
1928,44
1929,41
1930,62
1931,53
1932,47
1933,35
1934,34
1935,34
1936,49
1937,41
1938,37
1939,38
1940,34
1941,32
1942,40
1943,43
1944,48
1945,41
1946,39
1947,49
1948,57
1949,41
1950,38
1951,39
1952,52
1953,51
1954,35
1955,30
1956,39
1957,36
1958,43
1959,49
1960,36
1961,47
1962,31
1963,47
1964,37
1965,57
1966,42
1967,45
1968,42
1969,45
1970,62
1971,43
1972,42
1973,48
1974,49
1975,56
1976,38
1977,60
1978,30
1979,40
1980,42
1981,37
1982,76
1983,39
1984,53
1985,45
1986,36
1987,62
1988,43
1989,51
1990,32
1991,42
1992,54
1993,52
1994,37
1995,38
1996,32
1997,45
1998,60
1999,46
2000,40
2001,36
2002,47
2003,29
2004,43
2005,37
2006,38
2007,45
2008,50
2009,48
2010,60
2011,50
2012,39
2013,55
2014,44
2015,33
2016,41
